"n","theta1","theta2","d","d_label","x1","x2","prior","prob_H","ev_obs","k_star","alpha","beta","decision"
30,0.5,0.5,0,"0.00 (H₀ true)",19,19,"KL-optimal",0.507,1,0.4374,0.226,0.608,"Do not reject"
30,0.5,0.5,0,"0.00 (H₀ true)",19,19,"Informative (α=10)",0.487,1,0.7981,0.314,0.579,"Do not reject"
50,0.5,0.5,0,"0.00 (H₀ true)",27,21,"KL-optimal",0.118,0.4795,0.4806,0.215,0.424,"Reject H₀"
50,0.5,0.5,0,"0.00 (H₀ true)",27,21,"Informative (α=10)",0.181,0.6561,0.7491,0.329,0.492,"Reject H₀"
75,0.5,0.5,0,"0.00 (H₀ true)",39,46,"KL-optimal",0.873,0.5185,0.5214,0.284,0.414,"Reject H₀"
75,0.5,0.5,0,"0.00 (H₀ true)",39,46,"Informative (α=10)",0.825,0.6487,0.6487,0.231,0.575,"Do not reject"
100,0.5,0.5,0,"0.00 (H₀ true)",38,44,"KL-optimal",0.803,0.6915,0.3161,0.119,0.631,"Do not reject"
100,0.5,0.5,0,"0.00 (H₀ true)",38,44,"Informative (α=10)",0.785,0.7556,0.4643,0.151,0.675,"Do not reject"
150,0.5,0.5,0,"0.00 (H₀ true)",82,78,"KL-optimal",0.325,0.8964,0.3839,0.166,0.615,"Do not reject"
150,0.5,0.5,0,"0.00 (H₀ true)",82,78,"Informative (α=10)",0.336,0.9201,0.5867,0.236,0.602,"Do not reject"
30,0.5,0.52,0.02,"0.02 (small effect)",11,14,"KL-optimal",0.771,0.7361,0.4643,0.241,0.55,"Do not reject"
30,0.5,0.52,0.02,"0.02 (small effect)",11,14,"Informative (α=10)",0.692,0.8652,0.5798,0.134,0.747,"Do not reject"
50,0.5,0.52,0.02,"0.02 (small effect)",26,26,"KL-optimal",0.497,1,0.7193,0.407,0.419,"Do not reject"
50,0.5,0.52,0.02,"0.02 (small effect)",26,26,"Informative (α=10)",0.49,1,0.7491,0.316,0.559,"Do not reject"
75,0.5,0.52,0.02,"0.02 (small effect)",33,39,"KL-optimal",0.839,0.6211,0.3303,0.133,0.595,"Do not reject"
75,0.5,0.52,0.02,"0.02 (small effect)",33,39,"Informative (α=10)",0.784,0.7199,0.4681,0.12,0.722,"Do not reject"
100,0.5,0.52,0.02,"0.02 (small effect)",51,57,"KL-optimal",0.806,0.6996,0.4362,0.178,0.54,"Do not reject"
100,0.5,0.52,0.02,"0.02 (small effect)",51,57,"Informative (α=10)",0.76,0.771,0.7672,0.346,0.446,"Do not reject"
150,0.5,0.52,0.02,"0.02 (small effect)",64,76,"KL-optimal",0.918,0.382,0.4943,0.209,0.442,"Reject H₀"
150,0.5,0.52,0.02,"0.02 (small effect)",64,76,"Informative (α=10)",0.89,0.4576,0.5836,0.24,0.428,"Reject H₀"
30,0.5,0.6,0.1,"0.10 (medium effect)",13,20,"KL-optimal",0.96,0.1932,0.3964,0.16,0.387,"Reject H₀"
30,0.5,0.6,0.1,"0.10 (medium effect)",13,20,"Informative (α=10)",0.886,0.4852,0.7053,0.255,0.58,"Reject H₀"
50,0.5,0.6,0.1,"0.10 (medium effect)",24,22,"KL-optimal",0.347,0.9202,0.4806,0.237,0.559,"Do not reject"
50,0.5,0.6,0.1,"0.10 (medium effect)",24,22,"Informative (α=10)",0.39,0.9545,0.8208,0.358,0.48,"Do not reject"
75,0.5,0.6,0.1,"0.10 (medium effect)",34,44,"KL-optimal",0.945,0.2638,0.5226,0.269,0.343,"Reject H₀"
75,0.5,0.6,0.1,"0.10 (medium effect)",34,44,"Informative (α=10)",0.915,0.4088,0.5627,0.171,0.526,"Reject H₀"
100,0.5,0.6,0.1,"0.10 (medium effect)",50,59,"KL-optimal",0.892,0.4445,0.5302,0.259,0.375,"Reject H₀"
100,0.5,0.6,0.1,"0.10 (medium effect)",50,59,"Informative (α=10)",0.865,0.5567,0.63,0.258,0.479,"Reject H₀"
150,0.5,0.6,0.1,"0.10 (medium effect)",80,78,"KL-optimal",0.408,0.9729,0.5095,0.241,0.599,"Do not reject"
150,0.5,0.6,0.1,"0.10 (medium effect)",80,78,"Informative (α=10)",0.42,0.9784,0.525,0.215,0.629,"Do not reject"
30,0.5,0.8,0.3,"0.30 (large effect)",11,25,"KL-optimal",1,9e-04,0.16,0.052,0.137,"Reject H₀"
30,0.5,0.8,0.3,"0.30 (large effect)",11,25,"Informative (α=10)",0.992,0.0567,0.6974,0.194,0.37,"Reject H₀"
50,0.5,0.8,0.3,"0.30 (large effect)",24,42,"KL-optimal",1,7e-04,0.1561,0.055,0.113,"Reject H₀"
50,0.5,0.8,0.3,"0.30 (large effect)",24,42,"Informative (α=10)",0.995,0.0256,0.5758,0.129,0.355,"Reject H₀"
75,0.5,0.8,0.3,"0.30 (large effect)",38,48,"KL-optimal",0.947,0.2589,0.3401,0.168,0.44,"Reject H₀"
75,0.5,0.8,0.3,"0.30 (large effect)",38,48,"Informative (α=10)",0.914,0.4136,0.6487,0.238,0.488,"Reject H₀"
100,0.5,0.8,0.3,"0.30 (large effect)",44,77,"KL-optimal",1,0,0.0873,0.025,0.033,"Reject H₀"
100,0.5,0.8,0.3,"0.30 (large effect)",44,77,"Informative (α=10)",1,3e-04,0.347,0.071,0.138,"Reject H₀"
150,0.5,0.8,0.3,"0.30 (large effect)",76,117,"KL-optimal",1,0,0.048,0.016,0.038,"Reject H₀"
150,0.5,0.8,0.3,"0.30 (large effect)",76,117,"Informative (α=10)",1,1e-04,0.249,0.052,0.073,"Reject H₀"
