"n","d","d_label","weight_label","a_w","b_w","prior","reject_rate","mean_ev","mean_k_star","sd_k_star"
30,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Non-informative",0.0666666666666667,0.760896349047634,0.47676923231036,0.151344144602064
30,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Non-informative",0,0.760896349047634,0.0415661100913745,0.0289685408635818
30,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.760896349047634,0.0168335966929232,0.0204009270778809
30,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.233333333333333,0.929114442752166,0.86996483454491,0.0975565114363005
30,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0,0.929114442752166,0.286692695983863,0.187649882807356
30,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0,0.929114442752166,0.222611855420369,0.177005622762452
30,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.233333333333333,0.874561175145824,0.793994615459632,0.100508290248469
30,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0,0.874561175145824,0.115135458682227,0.0709345951418742
30,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0,0.874561175145824,0.0930032116698694,0.0459928068642328
50,0,"Delta=0.00 (H true)","a=1, b=1 (balanced)",1,1,"Non-informative",0.233333333333333,0.639084815806985,0.434184146073399,0.13337956545019
50,0,"Delta=0.00 (H true)","a=5, b=1 (moderate)",5,1,"Non-informative",0,0.639084815806985,0.0468478665391245,0.0357385820159703
50,0,"Delta=0.00 (H true)","a=20, b=1 (strict)",20,1,"Non-informative",0,0.639084815806985,0.0133972723068919,0.0129359044740825
